# Devanagari
#
0B16;odKHA;ORIYA LETTER KHA
0B17;odGA;ORIYA LETTER GA
0B18;odGHA;ORIYA LETTER GHA
0B19;odNGA;ORIYA LETTER NGA
0B1A;odCA;ORIYA LETTER CA
0B1B;odCHA;ORIYA LETTER CHA
0B1C;odJA;ORIYA LETTER JA
0B1D;odJHA;ORIYA LETTER JHA
0B1E;odNYA;ORIYA LETTER NYA
0B1F;odTTA;ORIYA LETTER TTA
0B20;odTTHA;ORIYA LETTER TTHA
0B21;odDDA;ORIYA LETTER DDA
0B22;odDDHA;ORIYA LETTER DDHA
0B23;odNNA;ORIYA LETTER NNA
0B24;odTA;ORIYA LETTER TA
0B25;odTHA;ORIYA LETTER THA
0B26;odDA;ORIYA LETTER DA
0B27;odDHA;ORIYA LETTER DHA
0B28;odNA;ORIYA LETTER NA
0B2A;odPA;ORIYA LETTER PA
0B2B;odPHA;ORIYA LETTER PHA
0B2C;odBA;ORIYA LETTER BA
0B2D;odBHA;ORIYA LETTER BHA
0B2E;odMA;ORIYA LETTER MA
0B2F;odYA;ORIYA LETTER YA
0B30;odRA;ORIYA LETTER RA
0B32;odLA;ORIYA LETTER LA
0B35;odVA;ORIYA LETTER VA
0B36;odSHA;ORIYA LETTER SHA
0B37;odSSA;ORIYA LETTER SSA
0B38;odSA;ORIYA LETTER SA
0B39;odHA;ORIYA LETTER HA
#
0B5F;odYYA;ORIYA LETTER YYA
0B33;odLLA;ORIYA LETTER LLA
#
0B71;odWA;ORIYA LETTER WA
#
0B5C;odDDxA;ORIYA LETTER RRA
0B5D;odDDHxA;ORIYA LETTER RHA
#
0B02;odAnusvara;ORIYA SIGN ANUSVARA
0B01;odCandrabindu;ORIYA SIGN CANDRABINDU
0B03;odVisarga;ORIYA SIGN VISARGA
0B4D;odVirama;ORIYA SIGN VIRAMA
0B3C;odNukta;ORIYA SIGN NUKTA
0B3D;odAvagraha;ORIYA SIGN AVAGRAHA
#
0B66;odZero;ORIYA DIGIT ZERO
0B67;odOne;ORIYA DIGIT ONE
0B68;odTwo;ORIYA DIGIT TWO
0B69;odThree;ORIYA DIGIT THREE
0B6A;odFour;ORIYA DIGIT FOUR
0B6B;odFive;ORIYA DIGIT FIVE
0B6C;odSix;ORIYA DIGIT SIX
0B6D;odSeven;ORIYA DIGIT SEVEN
0B6E;odEight;ORIYA DIGIT EIGHT
0B6F;odNine;ORIYA DIGIT NINE
#
0B70;odIsshar;ORIYA ISSHAR
#
0B72;odOnequarter;ORIYA FRACTION ONE QUARTER
0B73;odOnehalf;ORIYA FRACTION ONE HALF
0B74;odThreequarters;ORIYA FRACTION THREE QUARTERS
0B75;odOnesixteenth;ORIYA FRACTION ONE SIXTEENTH
0B76;odOneeighth;ORIYA FRACTION ONE EIGHTH
0B77;odThreesixteenths;ORIYA FRACTION THREE SIXTEENTHS
#
# Telugu
#
0C05;tlA;TELUGU LETTER A
0C06;tlAA;TELUGU LETTER AA
0C07;tlI;TELUGU LETTER I
0C08;tlII;TELUGU LETTER II
0C09;tlU;TELUGU LETTER U
0C0A;tlUU;TELUGU LETTER UU
0C0B;tlvR;TELUGU LETTER VOCALIC R
0C60;tlvRR;TELUGU LETTER VOCALIC RR
0C0C;tlvL;TELUGU LETTER VOCALIC L
0C61;tlvLL;TELUGU LETTER VOCALIC LL
0C0E;tlE;TELUGU LETTER E
0C0F;tlEE;TELUGU LETTER EE
0C10;tlAI;TELUGU LETTER AI
0C12;tlO;TELUGU LETTER O
0C13;tlOO;TELUGU LETTER OO
0C14;tlAU;TELUGU LETTER AU
#
0C3E;tlmAA;TELUGU VOWEL SIGN AA
0C3F;tlmI;TELUGU VOWEL SIGN I
0C40;tlmII;TELUGU VOWEL SIGN II
0C41;tlmU;TELUGU VOWEL SIGN U
0C42;tlmUU;TELUGU VOWEL SIGN UU
0C43;tlmvR;TELUGU VOWEL SIGN VOCALIC R
0C44;tlmvRR;TELUGU VOWEL SIGN VOCALIC RR
0C62;tlmvL;TELUGU VOWEL SIGN VOCALIC L
0C63;tlmvLL;TELUGU VOWEL SIGN VOCALIC LL
0C46;tlmE;TELUGU VOWEL SIGN E
0C47;tlmEE;TELUGU VOWEL SIGN EE
0C48;tlmAI;TELUGU VOWEL SIGN AI
0C4A;tlmO;TELUGU VOWEL SIGN O
0C4B;tlmOO;TELUGU VOWEL SIGN OO
0C4C;tlmAU;TELUGU VOWEL SIGN AU
#
0C55;tlLengthmark;TELUGU LENGTH MARK
0C56;tlAIlengthmark;TELUGU AI LENGTH MARK
#
0C15;tlKA;TELUGU LETTER KA
0C16;tlKHA;TELUGU LETTER KHA
0C17;tlGA;TELUGU LETTER GA
0C18;tlGHA;TELUGU LETTER GHA
0C19;tlNGA;TELUGU LETTER NGA
0C1A;tlCA;TELUGU LETTER CA
0C1B;tlCHA;TELUGU LETTER CHA
0C1C;tlJA;TELUGU LETTER JA
0C1D;tlJHA;TELUGU LETTER JHA
0C1E;tlNYA;TELUGU LETTER NYA
0C1F;tlTTA;TELUGU LETTER TTA
0C20;tlTTHA;TELUGU LETTER TTHA
0C21;tlDDA;TELUGU LETTER DDA
0C22;tlDDHA;TELUGU LETTER DDHA
0C23;tlNNA;TELUGU LETTER NNA
0C24;tlTA;TELUGU LETTER TA
0C25;tlTHA;TELUGU LETTER THA
0C26;tlDA;TELUGU LETTER DA
0C27;tlDHA;TELUGU LETTER DHA
0C28;tlNA;TELUGU LETTER NA
0C2A;tlPA;TELUGU LETTER PA
0C2B;tlPHA;TELUGU LETTER PHA
0C2C;tlBA;TELUGU LETTER BA
0C2D;tlBHA;TELUGU LETTER BHA
0C2E;tlMA;TELUGU LETTER MA
0C2F;tlYA;TELUGU LETTER YA
0C30;tlRA;TELUGU LETTER RA
0C32;tlLA;TELUGU LETTER LA
0C35;tlVA;TELUGU LETTER VA
0C36;tlSHA;TELUGU LETTER SHA
0C37;tlSSA;TELUGU LETTER SSA
0C38;tlSA;TELUGU LETTER SA
0C39;tlHA;TELUGU LETTER HA
#
0C31;tlRRA;TELUGU LETTER RRA
0C5A;tlRRRA;TELUGU LETTER RRRA
0C33;tlLLA;TELUGU LETTER LLA
0C34;tlLLLA;TELUGU LETTER LLLA
#
0C58;tlTSA;TELUGU LETTER TSA
0C59;tlDZA;TELUGU LETTER DZA
